ID,kayit_zamani,enlem,boylam,Tesis_Türü,Sonuç,Sızıntı_Olasılığı,Ses_Gücü
6224,24-10-31 10:59:22,39.96026429,32.87825843,Sayaç,N,0.00,0.6
6229,24-10-31 10:34:57,39.95974826,32.87805861,Sayaç,N,0.01,0.59
6197,24-10-30 15:58:21,39.95943435,32.87221525,Vana,N,0.00,0.58
6133,24-10-30 16:34:09,39.96025104,32.87473901,Sayaç,N,0.00,0.58
6110,24-10-31 14:53:48,39.96041403,32.88100702,Sayaç,N,0.00,0.57
6319,24-10-31 15:10:42,39.95909988,32.8813413,Sayaç,N,0.00,0.57
6334,24-10-30 16:09:18,39.96051164,32.87364939,Sayaç,N,0.00,0.55
6123,24-10-31 10:54:28,39.95981397,32.87540298,Sayaç,N,0.00,0.53
6216,24-10-30 16:25:28,39.9606001,32.87451407,Sayaç,N,0.00,0.52
6300,24-10-31 14:26:13,39.95980296,32.88008396,Sayaç,N,0.00,0.52
6128,24-10-31 10:33:17,39.95938201,32.87554597,Sayaç,N,0.00,0.5
6356,24-10-31 10:49:16,39.9594722,32.87525671,Sayaç,N,0.00,0.5
6206,24-10-31 14:26:38,39.95930252,32.8754339,Sayaç,N,0.00,0.5
6194,24-10-31 15:46:48,39.95894413,32.88346292,Sayaç,N,0.00,0.5
6302,24-10-31 10:54:13,39.96045994,32.87557549,Vana,N,0.00,0.48
6222,24-10-31 10:25:57,39.95927198,32.87677903,Sayaç,N,0.00,0.47
6184,24-10-31 10:18:31,39.95910248,32.87720149,Sayaç,N,0.00,0.46
6170,24-10-31 10:50:15,39.95975,32.87538803,Sayaç,N,0.00,0.46
6218,24-10-30 16:02:24,39.96174888,32.87249068,Sayaç,N,0.00,0.44
6274,24-10-31 14:09:32,39.96118648,32.88014654,Sayaç,N,0.00,0.44
6115,24-10-30 15:45:51,39.95927299,32.87953902,Sayaç,N,0.00,0.43
6331,24-10-31 15:06:53,39.9594648,32.88129905,Sayaç,N,0.00,0.43
